Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability
INDIA,190,Mohammed Shami,NO,18,0,0,0,19,9.33,0.00%,1.06,10.86%,10.86%,50%
PAKISTAN,192,BABAR AZAM*,NO,87,3172,42.9,129.2,0,0,34.64%,0.00,0.00%,34.64%,30%
PAKISTAN,193,SHADAB KHAN,NO,72,378,18,138.5,85,7.08,15.58%,1.18,16.01%,31.59%,30%
PAKISTAN,194,Haider ali,NO,31,497,19.9,127.4,0,0,15.85%,0.00,0.00%,15.85%,30%
PAKISTAN,195,khushdil shah,NO,24,309,20.6,110.8,0,7.5,14.27%,0.00,0.00%,14.27%,30%
PAKISTAN,196,MD. NAWAZ,NO,48,354,18.6,136.2,44,7.38,15.83%,0.92,11.92%,27.76%,30%
PAKISTAN,197,MD. WASIM,NO,17,20,10,83,25,8.37,5.19%,1.47,16.87%,22.05%,30%
PAKISTAN,198,SHAHEEN AFRIDI*,NO,38,19,9.5,95,47,7.76,5.64%,1.24,15.30%,20.94%,30%
PAKISTAN,199,HARIS RAUF,NO,47,46,6.6,135,64,8.2,5.57%,1.36,15.94%,21.51%,30%
PAKISTAN,200,ASIF ALI,NO,53,531,15.6,135.1,0,0,13.17%,0.00,0.00%,13.17%,30%
PAKISTAN,201,IFTIKHAR AHAMMED,NO,34,539,26.9,125.6,2,7.08,21.12%,0.06,0.80%,21.91%,30%
PAKISTAN,202,MD. HASNAIN,NO,27,24,24,92,25,8.44,13.80%,0.93,10.53%,24.33%,30%
PAKISTAN,203,MD.RIZWAN*,NO,68,2429,52.8,128.7,0,0,42.47%,0.00,0.00%,42.47%,30%
PAKISTAN,204,NASEEM SHAH*,NO,9,18,6,225,11,7.89,8.44%,1.22,14.87%,23.31%,30%
PAKISTAN,205,SHAN MASOOD,NO,12,220,24.4,125,0,0,19.06%,0.00,0.00%,19.06%,30%
SOUTH AFRICA,206,FAKHAR ZAMAN,NO,66,1349,22.1,129.2,0,12,17.85%,0.00,0.00%,17.85%,30%
SOUTH AFRICA,207,QUINTON DE KOCK*,NO,71,2032,32.2,134.2,0,0,27.01%,0.00,0.00%,27.01%,25%
SOUTH AFRICA,208,TABRAIZ SHAMSI,NO,57,8,2,34,69,7.15,0.43%,1.21,16.25%,16.68%,25%
SOUTH AFRICA,209,ANRICH NORTJE,NO,23,11,2.2,40,24,7.5,0.55%,1.04,13.36%,13.91%,25%
SOUTH AFRICA,210,TEMBA BAVUMA,NO,28,565,23.5,116.5,0,0,17.11%,0.00,0.00%,17.11%,25%
SOUTH AFRICA,211,RILEE ROSSOUW*,NO,21,558,37.2,152.9,0,0,35.55%,0.00,0.00%,35.55%,25%
SOUTH AFRICA,212,DAVID MILLER*,NO,106,2069,33.9,145.6,0,0,30.85%,0.00,0.00%,30.85%,25%
SOUTH AFRICA,213,HEINRICH KLAASEN,NO,35,651,25,147.6,0,0,23.06%,0.00,0.00%,23.06%,25%
SOUTH AFRICA,214,MARCO JANSEN,NO,1,12,12,70,1,9.5,5.25%,1.00,10.11%,15.36%,25%
SOUTH AFRICA,215,WAYNE PARNELL,NO,48,163,27.2,102.2,52,8.28,17.37%,1.08,12.56%,29.93%,25%
SOUTH AFRICA,216,AIDEN MARKRAM*,NO,26,780,41,151.2,6,7.4,38.75%,0.23,2.99%,41.74%,25%
SOUTH AFRICA,217,KESHAV MAHARAJ,NO,20,56,14,107.7,19,7.05,9.42%,0.95,12.94%,22.36%,25%
SOUTH AFRICA,218,LUNGI NGIDI,NO,31,12,2,41.4,49,8.98,0.52%,1.58,16.90%,17.42%,25%
SOUTH AFRICA,219,KAGISO RABADA*,NO,48,137,22.8,110.5,54,8.44,15.75%,1.13,12.80%,28.54%,25%
SOUTH AFRICA,220,REEZA HENDRICKS,NO,47,1372,29.8,125.4,0,21,23.36%,0.00,0.00%,23.36%,25%
SRILANKA,221,DASUN SHANAKA*,NO,80,1201,20.35,118.2,21,8.1,15.03%,0.26,0.00%,15.03%,10%
SRILANKA,222,CHARITH ASALANKA,NO,29,634,25.36,119.84,0,0,18.99%,0.00,0.00%,18.99%,10%
SRILANKA,223,DHANANJAYA DE SILVA,NO,31,551,19.67,110.86,9,6.71,13.63%,0.29,4.15%,17.78%,10%
SRILANKA,224,LAHIRU KUMARA,NO,23,10,3.33,90.9,26,8.37,1.89%,1.13,12.97%,14.86%,10%
SRILANKA,225,KUSAL MENDIS,NO,47,1016,22.57,130.92,0,0,18.47%,0.00,0.00%,18.47%,10%
SRILANKA,226,BHANUKA RAJAPAKSA*,NO,33,626,26.08,136.98,0,0,22.33%,0.00,0.00%,22.33%,10%
SRILANKA,227,JEFFREY VANDERSAY,NO,14,20,20,100,7,8,12.50%,0.50,6.00%,18.50%,10%
SRILANKA,228,KASUN RAJITHA,NO,11,16,8,36.36,12,9.29,1.82%,1.09,11.27%,13.09%,10%
SRILANKA,229,WANINDU HASARANGA*,NO,50,464,14.06,120.51,81,6.77,10.59%,1.62,22.97%,33.56%,10%
SRILANKA,230,CHAMIKA KARUARANTNE,NO,37,257,16.06,105.32,21,8.03,10.57%,0.57,6.79%,17.36%,10%
SRILANKA,231,PRAMOD MADUSHAN,NO,4,1,1,100,9,8.05,0.63%,2.25,26.83%,27.46%,10%
SRILANKA,232,PATHUM NISSANKA*,NO,34,938,29.31,112.47,0,0,20.60%,0.00,0.00%,20.60%,10%
SRILANKA,233,MAHEESH THEEKSHANA,NO,30,31,5.16,93.93,31,6.54,3.03%,1.03,15.17%,18.20%,10%
SRILANKA,234,BINURA FERNANDO,NO,12,30,30,107.14,12,8.06,20.09%,1.00,11.91%,32.00%,10%
SRILANKA,235,ASHEN BANDARA,NO,5,84,28,106.32,0,0,18.61%,0.00,0.00%,18.61%,10%
IRELAND,236,Andrew Balbirnie*,NO,77,1652,23.3,126,0,0,18.35%,0.00,0.00%,18.35%,4%
IRELAND,237,George Dockrell*,NO,100,852,18.9,129.6,79,7.14,15.31%,0.79,10.62%,25.93%,4%
IRELAND,238,Fionn Hand,NO,19,206,36,200,18,9.28,45.00%,0.95,9.80%,54.80%,4%
IRELAND,239,Barry McCarthy,NO,29,174,19.3,126.1,25,9.3,15.21%,0.86,8.90%,24.11%,4%
IRELAND,240,Simi Singh*,NO,50,292,10.8,108.1,44,7.53,7.30%,0.88,11.22%,18.52%,4%
IRELAND,241,Lorcan Tucker,NO,43,721,20.6,122.6,0,0,15.78%,0.00,0.00%,15.78%,4%
IRELAND,242,Stephen Doheny,NO,35,1042,34.7,131.1,0,0,28.43%,0.00,0.00%,28.43%,4%
IRELAND,243,Joshua Little,NO,46,77,9.6,78.6,52,7.67,4.72%,1.13,14.15%,18.86%,4%
IRELAND,244,Conor Olphert,NO,2,0,0,0,0,0,0.00%,0.00,0.00%,0.00%,4%
IRELAND,245,Harry Tector*,NO,44,711,21.5,121.5,0,0,16.33%,0.00,0.00%,16.33%,4%
IRELAND,246,Graham Hume,NO,1,0,0,0,0,10.25,0.00%,0.00,0.00%,0.00%,4%
NETHERLAND,251,Scott Edwards,NO,45,527,21.1,123.1,0,0,16.23%,0.00,0.00%,16.23%,1%
NETHERLAND,252,Brandon Glover,NO,21,2,0.7,18,30,6.77,0.08%,1.43,20.26%,20.34%,1%
NETHERLAND,253,Fred Klaassen,NO,31,38,4.8,84,35,7.49,2.52%,1.13,14.47%,16.99%,1%
NETHERLAND,254,Paul van Meekeren*,NO,51,54,4.5,96.4,56,6.98,2.71%,1.10,15.10%,17.81%,1%
NETHERLAND,255,Stephan Myburgh,NO,41,864,22.1,115,0,0,15.88%,0.00,0.00%,15.88%,1%
NETHERLAND,256,Vikram Singh,NO,6,75,12.5,96.2,0,0,7.52%,0.00,0.00%,7.52%,1%
NETHERLAND,257,Timm van der Gugten,NO,41,109,13.6,132.9,42,7.34,11.30%,1.02,13.40%,24.69%,1%
NETHERLAND,258,Bas de Leede,NO,26,575,33.8,111.2,21,8.09,23.49%,0.81,9.58%,33.08%,1%
NETHERLAND,259,Roelof van der Merwe,NO,48,460,21.9,129.2,56,6.39,17.68%,1.17,17.53%,35.21%,1%
NETHERLAND,260,Max O'Dowd,NO,52,1471,31.3,123.9,3,9.39,24.24%,0.06,0.59%,24.83%,1%
NETHERLAND,261,Tim Pringle,NO,10,40,8,80,6,5.52,4.00%,0.60,10.43%,14.43%,1%
NETHERLAND,262,Colin Ackermann*,NO,17,317,22.6,115.3,7,6.32,16.29%,0.41,6.25%,22.54%,1%
NETHERLAND,263,Logan van Beek,NO,18,47,7.8,82.5,18,7.98,4.02%,1.00,12.03%,16.05%,1%
NETHERLAND,264,Tom Cooper*,NO,27,582,25.3,130.2,3,7.63,20.59%,0.11,1.40%,21.99%,1%
NETHERLAND,265,Shariz Ahmad,NO,7,6,6,150,6,6.77,5.63%,0.86,12.15%,17.78%,1%
ZIMBABWE,266,Craig Ervine,NO,54,1116,22.32,106.69,0,0,14.88%,0.00,0.00%,14.88%,1.50%
ZIMBABWE,267,Ryan Burl,NO,53,792,26.4,116.12,32,7.28,19.16%,0.60,7.96%,27.12%,1.50%
ZIMBABWE,268,Tendai Chatara,NO,45,32,6.4,69.56,51,7.27,2.78%,1.13,14.97%,17.75%,1.50%
ZIMBABWE,269,Luke Jongwe,NO,43,325,14.13,117.32,49,8.38,10.36%,1.14,13.05%,23.42%,1.50%
ZIMBABWE,270,Wessly Madhevere,NO,42,900,23.68,123.96,10,7.18,18.35%,0.24,3.18%,21.53%,1.50%
ZIMBABWE,271,Tony Munyonga,NO,11,111,18.5,98.23,0,3,11.36%,0.00,0.00%,11.36%,1.50%
ZIMBABWE,272,Richard Ngarava,NO,29,25,6.25,104.16,28,7.82,4.07%,0.97,11.85%,15.92%,1.50%
ZIMBABWE,273,Sikandar Raza*,NO,64,1185,20.43,127.55,37,7.21,16.29%,0.58,7.70%,23.98%,1.50%
ZIMBABWE,274,Brad Evans,NO,6,30,10,100,5,7.27,6.25%,0.83,11.00%,17.25%,1.50%
ZIMBABWE,275,Clive Madande,NO,1,2,2,18.18,0,0,0.23%,0.00,0.00%,0.23%,1.50%
ZIMBABWE,276,Wellington Masakadza,NO,35,82,7.45,86.31,31,7.22,4.02%,0.89,11.78%,15.80%,1.50%
ZIMBABWE,277,Blessing Muzarabani*,NO,32,18,4.5,56.25,39,7.83,1.58%,1.22,14.94%,16.52%,1.50%
ZIMBABWE,278,Milton Shumba,NO,29,383,21.27,108.49,4,8.58,14.42%,0.14,1.54%,15.97%,1.50%
ZIMBABWE,279,Sean Williams,NO,64,1390,23.96,126.82,41,6.94,18.99%,0.64,8.86%,27.85%,1.50%
