Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability,MVP
ENGLAND,149,Phil Salt,NO,11,235,23.5,164.33,0,0,0.24,0,0,0.24,0.45,NO
ENGLAND,150,Dawid Malan,NO,52,1710,38.86,136.8,1,13.5,0.33,0.02,0,0.33,0.45,NO
ENGLAND,151,Chris Jordan,NO,82,422,15.07,136.56,90,8.71,0.13,1.1,0.12,0.25,0.45,NO
ENGLAND,152,Harry Brook,NO,15,323,32.3,148.16,0,0,0.3,0,0,0.3,0.45,NO
ENGLAND,153,Alex Hales,NO,70,1881,29.85,136.8,0,0,0.26,0,0,0.26,0.45,YES
ENGLAND,154,Chris Woakes,NO,21,121,24.2,145.78,23,7.54,0.22,1.1,0.14,0.36,0.45,NO
ENGLAND,155,Ben stokes*,YES,38,477,19.08,133.61,22,8.52,0.16,0.58,0.07,0.22,0.45,YES
ENGLAND,156,Adil Rashid,NO,87,91,6.5,85.84,89,7.53,0.03,1.02,0.13,0.17,0.45,NO
ENGLAND,157,Liam Livingstone*,YES,24,397,23.35,150.95,12,8.13,0.22,0.5,0.06,0.28,0.45,YES
ENGLAND,158,Sam Curran,YES,30,146,12.16,136.44,33,7.8,0.1,1.1,0.14,0.24,0.45,YES
ENGLAND,159,Moeen Ali*,YES,66,995,23.13,146.32,40,8.42,0.21,0.61,0.07,0.28,0.45,NO
ENGLAND,160,Tymal Mills,NO,13,8,4,72.72,12,8.37,0.02,0.92,0.11,0.12,0.45,NO
NEWZELAND,161,Kane Williamson,YES,82,2248,32.57,123.44,6,8.33,0.25,0.07,0.01,0.26,0.35,YES
NEWZELAND,162,Tim Southee*,NO,101,250,11.36,140.44,125,8.2,0.1,1.24,0.14,0.24,0.35,NO
NEWZELAND,163,Mitch Santner,NO,74,461,17.73,129.13,83,7.16,0.14,1.12,0.15,0.29,0.35,NO
NEWZELAND,164,Jimmy Neesham,NO,54,661,25.42,164.83,25,9.12,0.26,0.46,0.05,0.31,0.35,NO
NEWZELAND,165,Adam Milne,NO,33,33,33,100,35,7.75,0.21,1.06,0.13,0.34,0.35,NO
NEWZELAND,166,Lockie Ferguson*,NO,22,15,7.5,136.36,33,6.84,0.06,1.5,0.21,0.27,0.35,NO
NEWZELAND,167,Mark Chapman,NO,40,761,24.54,125.37,4,7.3,0.19,0.1,0.01,0.21,0.35,NO
NEWZELAND,168,Trent Boult,NO,51,32,6.4,76.19,68,7.87,0.03,1.33,0.16,0.19,0.35,NO
NEWZELAND,169,Ish Sodhi,NO,82,117,10.63,113.59,104,8.11,0.08,1.27,0.15,0.23,0.35,NO
NEWZELAND,170,Glenn Phillips,YES,50,1106,30.6,145.14,2,8.28,0.28,0.04,0,0.28,0.35,YES
NEWZELAND,171,Daryl Mitchell,NO,35,657,25.26,141.59,7,10.26,0.22,0.2,0.02,0.24,0.35,NO
NEWZELAND,172,Martin Guptil,NO,122,3531,31.81,135.7,0,11,0.27,0,0,0.27,0.35,NO
NEWZELAND,173,Devon Conway*,YES,29,1033,57.38,136.1,0,0,0.49,0,0,0.49,0.35,YES
NEWZELAND,174,Michael Bracewell,NO,13,90,30,183.67,17,5.24,0.34,1.31,0.24,0.58,0.35,NO
NEWZELAND,175,Finn Allen*,YES,19,511,26.89,166.99,0,0,0.28,0,0,0.28,0.35,YES
INDIA,176,Rohit sharma,YES,143,3741,31.7,140.37,1,9.97,0.28,0.01,0,0.28,0.5,NO
INDIA,177,Rishabh Pant,NO,62,961,24.02,127.45,0,0,0.19,0,0,0.19,0.5,NO
INDIA,178,Kl Rahul,NO,67,2141,38.92,139.93,0,0,0.34,0,0,0.34,0.5,NO
INDIA,179,Virat Kohli*,YES,110,3794,51.97,138.41,4,8.05,0.45,0.04,0,0.45,0.5,YES
INDIA,180,Bhuvneshwar Kumar,NO,80,62,7.75,71.26,86,7,0.03,1.08,0.15,0.18,0.5,NO
INDIA,181,Ravichandran Ashwin,NO,60,164,27.33,114.68,66,6.81,0.2,1.1,0.16,0.35,0.5,NO
INDIA,182,Deepak Hooda,NO,12,293,41.85,155.85,1,5.33,0.41,0.08,0.02,0.42,0.5,YES
INDIA,183,Arshdeep Singh*,YES,14,4,0,133.33,22,8.13,0,1.57,0.19,0.19,0.5,NO
INDIA,184,Axar Patel,NO,33,164,14.9,133.33,31,7.47,0.12,0.94,0.12,0.24,0.5,NO
INDIA,185,Dinesh Karthik,NO,57,673,28.04,145.98,0,18,0.26,0,0,0.26,0.5,NO
INDIA,186,Hardik Pandya*,YES,74,1029,25.72,146.37,57,8.31,0.24,0.77,0.09,0.32,0.5,YES
INDIA,187,Suryakumar Yadav,YES,35,1060,37.85,176.37,0,0,0.42,0,0,0.42,0.5,YES
INDIA,188,Harshal Patel,NO,23,77,12.83,135.08,26,9.2,0.11,1.13,0.12,0.23,0.5,NO
INDIA,189,Yuzvendra Chahal,NO,69,5,2.5,45.45,85,8.12,0.01,1.23,0.15,0.15,0.5,NO
INDIA,190,Mohammed Shami,NO,18,0,0,0,19,9.33,0,1.06,0.11,0.11,0.5,NO
PAKISTAN,192,BABAR AZAM*,YES,87,3172,42.9,129.2,0,0,0.35,0,0,0.35,0.3,YES
PAKISTAN,193,SHADAB KHAN,YES,72,378,18,138.5,85,7.08,0.16,1.18,0.16,0.32,0.3,YES
PAKISTAN,194,Haider ali,NO,31,497,19.9,127.4,0,0,0.16,0,0,0.16,0.3,NO
PAKISTAN,195,khushdil shah,NO,24,309,20.6,110.8,0,7.5,0.14,0,0,0.14,0.3,NO
PAKISTAN,196,MD. NAWAZ,NO,48,354,18.6,136.2,44,7.38,0.16,0.92,0.12,0.28,0.3,NO
PAKISTAN,197,MD. WASIM,NO,17,20,10,83,25,8.37,0.05,1.47,0.17,0.22,0.3,NO
PAKISTAN,198,SHAHEEN AFRIDI*,NO,38,19,9.5,95,47,7.76,0.06,1.24,0.15,0.21,0.3,YES
PAKISTAN,199,HARIS RAUF,NO,47,46,6.6,135,64,8.2,0.06,1.36,0.16,0.22,0.3,NO
PAKISTAN,200,ASIF ALI,NO,53,531,15.6,135.1,0,0,0.13,0,0,0.13,0.3,NO
PAKISTAN,201,IFTIKHAR AHAMMED,NO,34,539,26.9,125.6,2,7.08,0.21,0.06,0.01,0.22,0.3,NO
PAKISTAN,202,MD. HASNAIN,NO,27,24,24,92,25,8.44,0.14,0.93,0.11,0.24,0.3,NO
PAKISTAN,203,MD.RIZWAN*,YES,68,2429,52.8,128.7,0,0,0.42,0,0,0.42,0.3,YES
PAKISTAN,204,NASEEM SHAH*,YES,9,18,6,225,11,7.89,0.08,1.22,0.15,0.23,0.3,NO
PAKISTAN,205,SHAN MASOOD,NO,12,220,24.4,125,0,0,0.19,0,0,0.19,0.3,NO
SOUTH AFRICA,206,FAKHAR ZAMAN,NO,66,1349,22.1,129.2,0,12,0.18,0,0,0.18,0.3,NO
SOUTH AFRICA,207,QUINTON DE KOCK*,YES,71,2032,32.2,134.2,0,0,0.27,0,0,0.27,0.25,YES
SOUTH AFRICA,208,TABRAIZ SHAMSI,NO,57,8,2,34,69,7.15,0,1.21,0.16,0.17,0.25,NO
SOUTH AFRICA,209,ANRICH NORTJE,NO,23,11,2.2,40,24,7.5,0.01,1.04,0.13,0.14,0.25,NO
SOUTH AFRICA,210,TEMBA BAVUMA,NO,28,565,23.5,116.5,0,0,0.17,0,0,0.17,0.25,NO
SOUTH AFRICA,211,RILEE ROSSOUW*,YES,21,558,37.2,152.9,0,0,0.36,0,0,0.36,0.25,YES
SOUTH AFRICA,212,DAVID MILLER*,YES,106,2069,33.9,145.6,0,0,0.31,0,0,0.31,0.25,YES
SOUTH AFRICA,213,HEINRICH KLAASEN,NO,35,651,25,147.6,0,0,0.23,0,0,0.23,0.25,NO
SOUTH AFRICA,214,MARCO JANSEN,NO,1,12,12,70,1,9.5,0.05,1,0.1,0.15,0.25,NO
SOUTH AFRICA,215,WAYNE PARNELL,NO,48,163,27.2,102.2,52,8.28,0.17,1.08,0.13,0.3,0.25,NO
SOUTH AFRICA,216,AIDEN MARKRAM*,NO,26,780,41,151.2,6,7.4,0.39,0.23,0.03,0.42,0.25,NO
SOUTH AFRICA,217,KESHAV MAHARAJ,NO,20,56,14,107.7,19,7.05,0.09,0.95,0.13,0.22,0.25,NO
SOUTH AFRICA,218,LUNGI NGIDI,NO,31,12,2,41.4,49,8.98,0.01,1.58,0.17,0.17,0.25,NO
SOUTH AFRICA,219,KAGISO RABADA*,YES,48,137,22.8,110.5,54,8.44,0.16,1.13,0.13,0.29,0.25,YES
SOUTH AFRICA,220,REEZA HENDRICKS,NO,47,1372,29.8,125.4,0,21,0.23,0,0,0.23,0.25,NO
SRILANKA,221,DASUN SHANAKA*,NO,80,1201,20.35,118.2,21,8.1,0.15,0.26,0,0.15,0.1,NO
SRILANKA,222,CHARITH ASALANKA,NO,29,634,25.36,119.84,0,0,0.19,0,0,0.19,0.1,NO
SRILANKA,223,DHANANJAYA DE SILVA,YES,31,551,19.67,110.86,9,6.71,0.14,0.29,0.04,0.18,0.1,YES
SRILANKA,224,LAHIRU KUMARA,NO,23,10,3.33,90.9,26,8.37,0.02,1.13,0.13,0.15,0.1,NO
SRILANKA,225,KUSAL MENDIS,NO,47,1016,22.57,130.92,0,0,0.18,0,0,0.18,0.1,NO
SRILANKA,226,BHANUKA RAJAPAKSA*,NO,33,626,26.08,136.98,0,0,0.22,0,0,0.22,0.1,NO
SRILANKA,227,JEFFREY VANDERSAY,NO,14,20,20,100,7,8,0.13,0.5,0.06,0.19,0.1,NO
SRILANKA,228,KASUN RAJITHA,NO,11,16,8,36.36,12,9.29,0.02,1.09,0.11,0.13,0.1,NO
SRILANKA,229,WANINDU HASARANGA*,YES,50,464,14.06,120.51,81,6.77,0.11,1.62,0.23,0.34,0.1,YES
SRILANKA,230,CHAMIKA KARUARANTNE,NO,37,257,16.06,105.32,21,8.03,0.11,0.57,0.07,0.17,0.1,NO
SRILANKA,231,PRAMOD MADUSHAN,NO,4,1,1,100,9,8.05,0.01,2.25,0.27,0.27,0.1,NO
SRILANKA,232,PATHUM NISSANKA*,NO,34,938,29.31,112.47,0,0,0.21,0,0,0.21,0.1,NO
SRILANKA,233,MAHEESH THEEKSHANA,NO,30,31,5.16,93.93,31,6.54,0.03,1.03,0.15,0.18,0.1,NO
SRILANKA,234,BINURA FERNANDO,NO,12,30,30,107.14,12,8.06,0.2,1,0.12,0.32,0.1,NO
SRILANKA,235,ASHEN BANDARA,NO,5,84,28,106.32,0,0,0.19,0,0,0.19,0.1,NO
IRELAND,236,Andrew Balbirnie*,YES,77,1652,23.3,126,0,0,0.18,0,0,0.18,0.04,YES
